,Unnamed: 0,Channel,total_views,total_subscribers,videos
0,0,Zach's Tech Turf,1304037610,1260000,2649
1,1,Dawid Does Tech Stuff,188491721,719000,659
2,2,John and Pam Hall Wildlife Videos,252171,2310,27
3,3,Wildlife,766117,1990,26
4,4,Taarak Mehta Ka Ooltah Chashmah Episodes,6620907278,3890000,13934
5,5,Google Cloud Tech,108844381,1210000,5183
6,6,Technology Connections,356654240,2740000,212
7,7,Tech Santos,159015093,766000,1323
8,8,Tech Primers,17257471,136000,464
9,9,WildlifeWatchUK,697194,3940,149
10,10,Tech Tangents,27367478,209000,320
11,11,Linus Tech Tips,8547702704,16300000,7222
12,12,Wildlife Telecast,92304132,645000,200
13,13,Texas Parks and Wildlife,58807602,122000,2670
14,14,Guardian Football,242543855,287000,3602
15,15,Bloomberg Technology,149358640,653000,11825
16,16,Venom's Tech,298760810,1150000,1130
17,17,Tech for Techs,9787466,163000,963
18,18,DW Travel,55691424,333000,1306
19,19,Tech Tech,13892120,35100,611
20,20,Tech,115619095,421000,467
21,21,Coldplay,20671470950,27500000,536
22,22,Tech Spurt,342464993,1250000,2116
23,23,Tech Field Day,9936679,58700,5274
24,24,Matt Talks Tech,191144927,687000,1863
25,25,Primitive Technology,1169609241,10900000,88
26,26,Dhruv Rathee,4014918382,27700000,674
27,27,Wildlife Middle School Ministry,12622,344,264
28,28,Wildlife Crystal,4124700,156000,107
29,29,adidas Football,81713054,1530000,146
30,30,UR · Cristiano,807367103,74100000,95
31,31,The Tech Chap,408291743,1540000,1145
32,32,Tech With Brett,132539969,490000,651
33,33,Tech Notice,59157622,254000,1289
34,34,WILDLIFE  Thailand,22223742,203000,177
35,35,Tech Rules,35899566,432000,18
36,36,Watts Wildlife,1477332,20700,104
37,37,Askham Bryan Wildlife Park,5741,137,8
38,38,Mark's Tech,21783843,122000,650
39,39,Ravish Kumar Official,1961208809,12700000,1031
40,40,Max Tech,417362228,1230000,1834
41,41,Tech Ingredients,64582229,1060000,176
42,42,WILD LIFE,82618353,198000,504
43,43,College Football Picks and Predictions,4092635,24500,1135
44,44,MORGBORG Tech,17783802,23900,204
45,45,CyberCPU Tech,29673536,271000,298
46,46,Teoh on Tech,26511706,67900,662
47,47,This Week in Tech,4171206,53500,636
48,48,Quantum Tech HD,2174414163,16000000,383
49,49,Tech By Matt,50723949,249000,314
50,0,Economics Help Global,540528,5400,28
51,1,ECONOMICS,296002,77600,28
52,2,MOG Economics,146873,4280,210
53,3,Easy Economics,155404,1400,151
54,4,Economics on Your Tips by Unacademy,82267859,688000,568
55,5,The Economist,355291543,3460000,905
56,6,Uneducated Economist,28533376,153000,2153
57,7,Debacle Economics,3381562,27600,212
58,8,Princeton Economics,458538,11900,113
59,9,Nalgonda Economics Forum,339747,5120,460
60,10,Economics by Rishabh sir,7393,208,35
61,11,DC Economics,22793,836,22
62,12,Economics Explained,330972011,2730000,387
63,13,Unlearning Economics Live,629767,16900,79
64,14,Economics Data,111717,4740,105
65,15,Economics Help,12990249,69100,304
66,16,Unlearning Economics,7333370,220000,23
67,17,Vision Economics ,2022531,16700,690
68,18,Global Economics,7558777,80900,88
69,19,The Economic Ninja,180319655,551000,3763
70,20,Being Economist,376979,10300,65
71,21,VisualEconomik,101678213,769000,359
72,22,Engineering Economics Guy,930615,12800,63
73,23,Learn Economics,364827,5400,139
74,24,"Faculty of Economics, University of Cambridge",220830,6820,221
75,25,Economics Factory,23441,398,51
76,26,Rethinking Economics,144728,5510,140
77,27,Trendline Productions | from ITR Economics,418101,5920,826
78,28,Economics dz,1355774,24100,75
79,29,Economics & Finance Podcast,294203,3370,310
80,30,Economic Panacea ,96239,2140,131
81,31,Kwanza Economics,14222,728,15
82,32,ECONOMICS HEIGHT(Vishal masih),1406519,13500,279
83,33,One Minute Economics,25139587,217000,433
84,34,Stupid Economics,11368749,292000,124
85,35,BHARDWAJ ECONOMICS CLASSES,221169,1530,119
86,36,New Economic Thinking,27800405,311000,1593
87,37,School of Economics,201285,2210,193
88,38,Richard Duncan - Economics,167435,11800,162
89,39,Economics with Dr. A,802095,16400,577
90,40, Economic Savvy,10477,916,15
91,41,Barcelona School of Economics,703683,3610,604
92,42,World Economic Forum,108028064,981000,9318
93,43,Geopolitical Economy Report,47484554,484000,502
94,44,CBC Economics,2692298,6000,5525
95,45,Peterson Institute for International Economics,3391637,31600,1640
96,46,Doughnut Economics Action Lab,1360367,13300,110
97,47,Economics Mafia,2616744,28600,25
98,48,No Bull Economics Lessons,2089234,9370,64
99,49,You Will Love Economics,4749807,68000,104
100,0,The Gaming Merchant,323134006,940000,1280
101,1,FUNNY GAMING TV,594616617,2430000,2019
102,2,ND Gaming,676111170,1140000,3581
103,3,The Game Theorists,4415174087,19500000,762
104,4,Senpai Gaming,94850021,706000,561
105,5,Force Gaming,442176736,1060000,5316
106,6,Gamers Nexus,716658292,2420000,3075
107,7,The Clashers Gaming,75658515,263000,529
108,8,Zayed Gaming,262483412,1220000,1309
109,9,ARTA GAME,2126700888,5480000,1974
110,10,MrBeast Gaming,8617110956,46800000,142
111,11,Jazon Gaming,54636830,473000,671
112,12,Silvio Gamer,3672381187,9520000,1042
113,13,Gaming Historian,140423575,1080000,144
114,14,JONATHAN GAMING,647368356,6850000,476
115,15,Neebs Gaming,1328821748,2370000,2901
116,16,Red Bull Gaming,128805470,499000,1316
117,17,RakaZone Gaming,69503287,505000,935
118,18,zWORMz Gaming,288776168,562000,3531
119,19,Gamster Gaming,416667386,1680000,1177
120,20,Nessaj Gaming,177190678,402000,3314
121,21,gaming on game,8080,41,41
122,22,Legacy Gaming,124422630,469000,1895
123,23,Get Good Gaming,636968617,1630000,773
124,24,T Gaming,2156415889,2500000,3954
125,25,Skvala Gaming,60439929,242000,994
126,26,Semenix Gaming,105147801,464000,779
127,27,Core-A Gaming,65396007,467000,185
128,28,Zarckaroo Gaming,31325651,378000,544
129,29,SQUEEZIE GAMING,2469224335,5000000,1236
130,30,IJustWantToBeCool GAMING,101734268,206000,364
131,31,Gaming Rules!,13276224,56100,1726
132,32,VTK Gaming,145575062,696000,2438
133,33,Late Night Gaming,45677125,197000,554
134,34,Suggestive Gaming,103776940,398000,340
135,35,Arekkz Gaming,710499752,1450000,6429
136,36,Tribe Gaming,297025739,910000,892
137,37,TCA Gaming,20972963,79600,1822
138,38,Z1 Gaming,169421855,589000,4162
139,39,PANDU GAMING,1192506863,2830000,2340
140,40,Camodo Gaming,2512459930,3780000,6901
141,41,Daz Games,2958692994,9040000,1639
142,42,2J Games,371476675,1050000,661
143,43,Saurus Gaming,26876618,175000,146
144,44,RYU Gaming,4898222,22100,1224
145,45,CKN Gaming,1331960992,1320000,507
146,46,WhatCulture Gaming,951664866,1710000,6343
147,47,Ceave Gaming,157250504,504000,231
148,48,Fierik Gaming,59505483,208000,640
149,49,PAYAL GAMING,433889120,4290000,927
150,0,Geography plus,2648319,26400,52
151,1,Geography In Action,86893,1120,44
152,2,Azimuth ( An Institute of Geography),198147,3810,264
153,3,Geography with Mnisi,30938,1220,13
154,4,Andrew Patterson AP Human Geography,4468461,18900,54
155,5,📚Samsuddin geography study corner📚,161167,2500,85
156,6,Geography By Geoff,139394837,693000,360
157,7,Suprem Ihalage GeogrAphy,48436,4310,22
158,8,National Geographic,6335186739,24300000,10596
159,9,cvs geography,23054,342,29
160,10,THE GEOGRAPHY,495178,5990,311
161,11,PAUL'S GEOGRAPHY,7516586,8320,130
162,12,Geography with Dave,5839679,61500,75
163,13,Geography @ StRomeros ,538,27,17
164,14,PD SIR & GEOGRAPHY ,11081,328,18
165,15,AP Human Geography Central,386,29,12
166,16,Geography by suraj yadav,1398,54,8
167,17,Geography With Angraj Sir,103565,1070,231
168,18,Geography Now,543633508,3610000,916
169,19,Geography with Prof. SS Ojha,22590922,375000,515
170,20,National Geographic Polska,485392078,787000,4658
171,21,Geography with Drew Binsky,200961,2960,15
172,22,WoW Geography,25492044,49500,181
173,23,Geography is Life,538413,4400,174
174,24,Tamil Geography News,957000,14800,862
175,25,ADVANCED GEOGRAPHY TUTORIAL ,1650,53,23
176,26,Geographic Enigma,28687036,101000,97
177,27,Geography King,36676649,258000,305
178,28,Nat Geo Kids,263748814,1410000,1035
179,29,Geography Partha Sir,113301,1330,134
180,30,Экспедиции Geography Trophy,46109891,433000,136
181,31,Geography Joe,203224,3430,20
182,32,Internet Geography,1040074,3000,280
183,33,Geography@easy,1269,66,14
184,34,Planet Geography,187,12,16
185,35,Geography-Jen,53979,595,54
186,36,Roy Geography,496685,4870,156
187,37,Kasam Ramesh Sir Geography Classes,1342,235,8
188,38,The Geography Bible,33098435,196000,168
189,39,Geography Zone,43448,939,108
190,40,Geography Explained Online,107529,1720,57
191,41,9-1 GCSE Geography,375936,4740,14
192,42,Geography 365,14561,270,283
193,43,GEOGRAPHY QUESTION & ANSWER,102778811,889000,5120
194,44,Geographie - simpleclub,32990863,193000,159
195,45,Geography Geek,40287545,352000,123
196,46,Beaver Geography,25667505,96400,297
197,47,Five Minute Geography Lessons,112535,890,78
198,48,Learning Geography & Environment,24118,787,83
199,49,FCC Geography,31350,200,20
200,0,Simple History,1582828881,4980000,1178
201,1,Parable - Religious History Documentaries,55647712,409000,217
202,2,History Latinoamérica,2667354910,7040000,27168
203,3,Terra X History,425814697,1240000,734
204,4,Scotland History Tours,20202948,241000,375
205,5,Texas Historical Commission,13131557,28000,376
206,6,The History of the World,35175804,301000,6
207,7,History Bombs,29720563,180000,51
208,8,History Explained,10455038,143000,20
209,9,The History Guy: History Deserves to Be Remembered,350567058,1520000,1696
210,10,History Lab,197701607,988000,357
211,11,HistoryMarche,190489952,1180000,318
212,12,Captivating History,64943927,463000,2651
213,13,History Matters,690301384,1790000,362
214,14,Extra History,1344661194,4120000,1201
215,15,History for GRANITE,46425550,282000,107
216,16,Chapter of History,1598901,29500,244
217,17,Sabaton History,22988950,363000,134
218,18,Feature History,42849011,590000,56
219,19,History with Cy,31339787,263000,216
220,20,History of the Earth,51509313,572000,33
221,21,Ancient History Guy,4155377,69600,350
222,22,History Hub,4672651,29800,354
223,23,Balkan History,16591445,32900,39
224,24,The HISTORY Channel DE,10270835,93800,3007
225,25,Pursuit of History,7447145,35100,34
226,26,Real Crusades History,57102476,361000,879
227,27,Heimler's History,140172703,900000,634
228,28,Weird History,674492509,4600000,978
229,29,Banijay History,148205336,970000,668
230,30,Redcoat History ,17615748,108000,223
231,31,Timeline - World History Documentaries,1053983413,5560000,1073
232,32,History Buffs,243719987,1700000,123
233,33,Epic History,322916445,2660000,202
234,34,HISTORY公式,96715126,439000,912
235,35,Geo History,143273082,980000,109
236,36,HISTORY,4766123324,14400000,10793
237,37,History Dose,61722778,761000,103
238,38,Keerthi History,815372518,2490000,270
239,39,History of the Universe,134193179,1000000,46
240,40,DW History and Culture,41764273,268000,716
241,41,Absolute History,1193406260,3490000,951
242,42,You Will Love History,4962650,11800,138
243,43,Tooky History,5511346,48200,40
244,44,History Hit,238369190,1540000,469
245,45,Hip Hughes (HipHughes),52946095,321000,686
246,46,Is Genesis History?,43913812,290000,779
